ID,Name,EQ2012,EQ2013,Eqabschg,Eqrelch,Putinmeet,Putinvisit,Putineither,ITP,IBE,GRP2012,GRPgrowth,GRPpc,forputin,pctputin,foropp,pctopp,marginvic,poverty,pop,govtemp,pctgov
62,?????????? ???????,8449215,8246917,-202298,-0.023942816,0,0,0,0.487,0.841,840280,0.025,197358.8,1324042,0.6266,423884,0.2006,0.426,12.9,4254000,44009,0.010345322
63,????????? ???????,2069365,2062811,-6554,-0.003167155,0,0,0,0.545,0.921,247219,0.05,215619.2,370945,0.5974,132981,0.2142,0.3832,12.5,1144000,14757,0.012899476
64,????????? ???????,,182751,182751,,1,0,1,0.859,0.836,941611,0.05,293001.2,912099,0.5856,320128,0.2055,0.3801,12.3,3213000,30078,0.009361345
65,??????????? ???????,4863363,5707206,843843,0.173510182,0,1,1,0.453,0.787,477352,0.059,190481.6,934685,0.7064,206818,0.1563,0.5501,15.9,2503000,24369,0.009735917
66,??????????? ???????,,,,,0,1,1,3.034,2.112,641603,-0.025,1297866.6,128565,0.563,45730,0.2003,0.3627,11.8,494000,9357,0.018941296
67,???????????? ???????,775911,184384,-591527,-0.762364498,0,0,0,0.846,0.897,1484447,0.071,344282.6,1337781,0.645,251690,0.1214,0.5236,8.5,4316000,37380,0.008660797
68,?????????? ???????,2801144,2108538,-692606,-0.247258263,0,1,1,0.517,0.932,201311,0.042,205874.5,273232,0.5669,111182,0.2307,0.3362,14.8,975000,14796,0.015175385
69,?????????? ???????,8498612,9541042,1042430,0.122658853,0,1,1,0.357,0.897,203267,0.089,188358.6,444978,0.7176,107797,0.1738,0.5438,9.4,1076000,12526,0.011641264
70,???????? ???????,2143619,1861377,-282242,-0.131666122,0,1,1,0.58,0.96,267639,0,200009.7,387308,0.5802,131591,0.1971,0.3831,11.4,1334000,17999,0.013492504
71,??????? ???????,2041072,1118520,-922552,-0.451993854,0,0,0,0.954,1.335,374172,0.036,352660.4,261581,0.5707,86403,0.1885,0.3822,16.2,1064000,13340,0.012537594
72,???????? ???????,1420603,968813,-451790,-0.318026922,0,1,1,0.652,0.876,309295,0.025,201038,587952,0.6777,147019,0.1695,0.5082,9.5,1532000,14553,0.009499347
73,????????? ???????,,,,,0,0,0,3.803,1.515,4618711,-0.002,1325288.4,611281,0.731,95398,0.1141,0.6169,11,3511000,47770,0.01360581
74,??????????? ???????,2681408,2613996,-67412,-0.025140523,0,0,0,0.454,0.796,244230,0.025,191059.6,387540,0.5818,160089,0.2403,0.3415,13.3,1274000,14261,0.011193878
75,??????????? ???????,2941523,2125160,-816363,-0.277530721,0,0,0,0.68,0.883,843340,0.024,242150.5,1124538,0.6502,254542,0.1472,0.503,10.1,3485000,33149,0.009511908
76,??????????? ???????,639928,429249,-210679,-0.329222975,0,0,0,0.738,0.866,324572,0.046,255297,365892,0.5453,133476,0.1989,0.3464,10.9,1272000,14504,0.011402516
77,????? ??????,,,,,1,0,1,3.143,0.945,10577810,0.03,887545.2,1994310,0.4695,868736,0.2045,0.265,9.6,11980000,72339,0.006038314
78,????? ?????-?????????,,,,,0,1,1,1.466,0.822,2291993,0.043,459261.2,1403753,0.5877,370799,0.1552,0.4325,9,5028000,38193,0.007596062
79,????????? ?????????? ???????,2313890,2616846,302956,0.130929301,0,0,0,0.46,1.29,42451,0.015,244614,48912,0.6159,14796,0.1863,0.4296,18.8,173000,3787,0.021890173
82,????????? ?????????? ?????,352541,195620,-156921,-0.445114185,0,0,0,7.42,7.122,48852,-0.003,960056.9,21310,0.7264,2651,0.0904,0.636,7.7,51000,2677,0.052490196
